Symbol,US Trading Venue,Trading Date,OTC Tier,Caveat Emptor,Security Type,Security Class,Security Name,Country of Domicile,Company Name
GMBL,OTC Link,04/01/2018,OTCQB,N,Common Stock,,ESPORTS ENTERTAINMENT GR,Antigua,"Esports Entertainment Group, Inc."
GMBXF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,B,GRUPO MEXICO SA B,Mexico,Grupo Mexico S.A.B. de C.V.
GMDMF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GEM DIAMONDS LTD ORD,,Gem Diamonds Ltd.
GMDTF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GOLDEN MEDITECH HLDGS LTD,China,Golden Meditech Holdings Ltd
GMELY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GOME RET HL UNSP/ADR,Hong Kong,GOME Retail Holdings Limited
GMER,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GOOD GAMING INC,USA,"Good Gaming, Inc."
GMET,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GEOMET INC,USA,"GeoMet, Inc."
GMEV,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GME INNOTAINMENT INC,USA,"GME Innotainment, Inc."
GMGI,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GOLDEN MATRIX GROUP,USA,"Golden Matrix Group, Inc."
GMGSF,OTC Link,04/01/2018,OTC Pink Current,N,Other Security Type,,GOODMAN GP SYDNEY STPLD,Australia,Goodman Group Sydney NSW
GMHLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GAM HOLDING AG ORD,Switzerland,Gam Holding AG
GMHLY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GAM HOLDING AG UNSP/ADR,Switzerland,Gam Holding AG
GMICF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GENWORTH MI CANADA ORD,Canada,Genworth MI Canada Inc.
GMND,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GREEN MTN DEV CORP,USA,Green Mountain Development Corp.
GMNI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GEMINI GROUP GLOBAL CORP,USA,Gemini Group Global Corp.
GMOS,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GIANT MOTORSPORTS INC,USA,"Giant Motorsports, Inc."
GMOYF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GMO INTERNET INC ORD,,"GMO Internet, Inc."
GMPW,OTC Link,04/01/2018,OTC Pink No Information,Y,Common Stock,,GIVEMEPOWER CORP,Canada,GiveMePower Corp.
GMPXF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GMP CAPITAL INC ORD,Canada,GMP Capital Inc
GMTU,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GREEN MOUNTAIN MERGER INC,USA,"Green Mountain Merger, Inc."
GMUI,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GOLD MINING USA INC,USA,Gold Mining USA Inc.
GMVHF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GVC HOLDINGS PLC,Isle of Man,GVC Holdings Plc
GMVI,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GLOBALMIN VENTURES INC,USA,GlobalMin Ventures Inc.
GMVP,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GRIDIRON BIONUTRIENTS INC,USA,"Gridiron BioNutrients, Inc."
GMWKF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GAMES WORKSHOP GRP ORD UK,,Games Workshop Group
GMXAY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GENMAB A/S S/ADR,Denmark,Genmab A/S
GMXDF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GRUPO MEXICANO SA,Mexico,Grupo Mexicano de Desarrollo S.A.
GNBF,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,G N B FNCL SVCS INC,USA,"GNB Financial Services, Inc."
GNBT,OTC Link,04/01/2018,OTCQB,N,Common Stock,,GENEREX BIOTECHNOLOGY,USA,Generex Biotechnology Corp.
GNCC,OTC Link,04/01/2018,OTC Pink No Information,Y,Common Stock,,GENCO CORP,USA,Genco Corp.
GNCGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GREENCORE GROUP PLC ORD,Ireland,Greencore Group plc.
GNCGY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GREENCORE GROUP PLC S/ADR,Ireland,Greencore Group plc.
GNCMB,OTC Link,04/01/2018,OTCQX U.S. Premier,N,Common Stock,B,GENERAL COMMUN INC B,USA,"General Communication, Inc."
GNCP,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GNCC CAPITAL INC,USA,"GNCC Capital, Inc."
GNFTF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GENFIT ORD,France,Genfit
GNGBF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GETINGE INDUSTRIER SHS B,Sweden,Getinge Industrier AB
GNGBY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GETINGE AB UNSP/ADR,Sweden,Getinge Industrier AB
GNGR,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GUNTHER GRANT INC,USA,"Gunther Grant, Inc."
GNGT,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GOLDEN GATE PARTNERS INC,USA,"Golden Gate Partners, Inc."
GNGYF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,H,GUANGSHEN RAILWAY CO H SH,China,Guangshen Railway Co. Ltd.
GNHAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GALENICA HLDG AG,,Vifor Pharma AG
GNID,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GENESYS ID INC,USA,"GeneSYS ID, Inc."
GNIN,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GREEN INNOVATIONS LTD,USA,Green Innovations Ltd.
GNLKQ,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GENELINK INC,USA,"GeneLink, Inc."
GNMLF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GENOMMA LAB INTL SAB ORD,Mexico,Genomma Lab International SAB DE CV
GNMP,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GENERAL CHEMICAL GRP INC,USA,General Chemical Group Inc. (The)
GNMSF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GENMAB A/S DKK,Denmark,Genmab A/S
GNNDY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GN STORE NORD A/S ADR,Denmark,GN Store Nord A/S
GNOLF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,GENOIL INC,USA,Genoil Inc.
GNOW,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMER CARESOURSE HLDGS INC,USA,"American CareSource Holdings, Inc."
GNPG,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GREEN PLANET GROUP INC,USA,"Green Planet Group, Inc."
GNPT,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GREEN PARTS INTL INC,USA,"Green Parts International, Inc."
GNPWF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,GUNPOWDER CAPITAL CRP ORD,Canada,Gunpowder Capital Corp.
GNRD,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GENERAL DATACOM INDUS INC,USA,"General DataComm Industries, Inc."
GNRV,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GRAND RIVER COMMERCE INC,USA,Grand River Commerce Inc.
